terms_1,prob_1,terms_2,prob_2,terms_3,prob_3,terms_4,prob_4,terms_5,prob_5,terms_6,prob_6,terms_7,prob_7,terms_8,prob_8,terms_9,prob_9,terms_10,prob_10
ice,0.0327002497678572,alaska,0.0188383486321413,alaska,0.0187849335407598,polar_bear,0.0604651537132015,people,0.0139951626932325,year,0.0169015508288155,arctic,0.0266154954328197,village,0.0307069688603429,alaska,0.0259069206024533,walrus,0.0265432562114222
warm,0.0255679441266149,arctic,0.0152369534882869,camp,0.0167748561274423,bear,0.0243281146566277,whale,0.0136677405165014,race,0.0168356235729496,oil,0.0247285698580868,storm,0.0132803521843808,anchorage,0.0220816312777854,animal,0.0171893134090502
arctic,0.0203558746195532,state,0.0126488322323645,june,0.0124168731641152,list,0.0237446101284314,ice,0.00912653728270912,dog,0.0143303878500463,drill,0.0217258969869901,community,0.0127444539494708,film,0.0107841446712531,alaska,0.012416108028416
scientist,0.0154181245602316,climate_change,0.0101339596912322,anchorage,0.012298633316273,sea_ice,0.0148713171306869,live,0.00899841556137956,iditarod,0.0140227273226722,ship,0.0198225633637812,water,0.012129163383463,state,0.00963457585865853,sea_ice,0.0115500022133815
alaska,0.0142659828797233,u.s,0.0101217515721005,age,0.0122310676889346,threaten,0.0137244289200941,time,0.00859981465057648,run,0.0127920852131758,shell,0.0171972756076311,fuel,0.0112955439069363,service,0.00818770476694474,find,0.0114345214380436
year,0.0136899120394691,alaskan,0.00720401109962192,cost,0.0113864973472046,decision,0.0110885981203106,work,0.008186977992959,trail,0.0116932976154112,plan,0.0132757520218818,resident,0.00994587427827409,call,0.00739489868929335,fish,0.0109341047449126
temperature,0.0130041134201189,support,0.00700868119351456,center,0.00979870510475206,habitat,0.0100825558303169,land,0.00815850649933021,team,0.0112977340802159,company,0.0106668723142076,mile,0.00915195096729632,director,0.00725615762570436,year,0.0107608835819057
sea_ice,0.0122497349388336,energy,0.00665464573869498,free,0.00974803088424826,federal,0.00809059209612935,find,0.00778837708215592,good,0.0109461220489312,alaska,0.00919014795137311,move,0.00897331822232632,people,0.00719669716988051,seal,0.00989477776687126
change,0.0120988592425766,good,0.00648373207085104,learn,0.00952844259539845,seal,0.00764793348853213,life,0.00754636938631119,mile,0.0109241462969759,vessel,0.00915733185442123,ice,0.00879468547735632,report,0.00674083367523095,island,0.00972155660386438
record,0.00908134531743561,president,0.00638606711779736,july,0.00924128867921022,specie,0.00756745010533263,barrow,0.0068630535392202,musher,0.0108362432891547,water,0.0090588835635656,nome,0.00857635656683743,man,0.00666155306746581,water,0.00964456942030575
climate,0.00873844600776049,issue,0.00598319918645094,day,0.00898791757669121,state,0.00750708756793301,hunt,0.00645021688160272,start,0.0102648737383171,coast_guard,0.00823848113976868,boat,0.00853666040128853,rescue,0.00610658881310984,food,0.00872072321760235
winter,0.00849155850479442,work,0.00520187956202152,include,0.00809267301445736,global_warm,0.00744672503053338,make,0.00626515217301558,march,0.00967152843552425,gas,0.00818925699434087,wind,0.00839772382186743,pilot,0.00578946638204929,ice,0.00868222962582304
study,0.00846412656002041,change,0.00514083896636297,student,0.00755214799575012,agency,0.00738636249313376,made,0.00578113678132612,time,0.00964955268356895,pipeline,0.00799236041262961,bering_sea,0.00734577543482187,fly,0.00567054547040157,study,0.00858599564637478
ocean,0.00842297864285939,government,0.00506759025157271,program,0.00728188548639651,alaska,0.00720527488093489,thing,0.00575266528769733,snow,0.00835298331820669,offshore,0.00612184288637262,city,0.00710759844152854,find,0.00565072531846029,number,0.00820105972858169
summer,0.00831325086376336,nation,0.00484784410720194,road,0.0071129714180505,group,0.00720527488093489,back,0.00546795035140941,win,0.00830903181429611,work,0.00590853825618543,million,0.00671063678603965,year,0.00561108501457772,bird,0.00791235779023687
melt,0.00827210294660235,alaska's,0.0047990116306751,park,0.00640353233099725,population,0.00720527488093489,north,0.00543947885778062,nome,0.00815520155060906,exploration,0.00562960143209447,people,0.0063732193788741,work,0.00523450212769331,biologist,0.00771988983134033
degree,0.00821723905705433,fund,0.0047990116306751,week,0.00633596670365885,protection,0.00700406642293615,day,0.00542524311096622,leave,0.0080453227908326,permit,0.0051701760747682,island,0.00629382704777632,barrow,0.00503630060828046,sea,0.00700775838342312
university,0.0081212272503453,interest,0.00432289498453842,contact,0.00630218388998965,wildlife_service,0.00690346219393678,good,0.00514052817467831,back,0.0077376622634585,icebreaker,0.0050881358323885,state,0.00615489046835521,set,0.00487773939275018,area,0.0069307711998645
report,0.00747657654815609,increase,0.00423743815061645,art,0.00613326982164364,loss,0.00680285796493741,man,0.00499817070653435,hour,0.00756185624781616,year,0.00502250363848475,river,0.00615489046835521,city,0.00479845878498504,whale,0.0069307711998645
water,0.00713367723848098,national,0.00421302191235303,game,0.00591368153279382,protect,0.00676261627333767,book,0.00499817070653435,finish,0.00729814722435265,environmental,0.00489123925067724,fish,0.00593656155783632,movie,0.00479845878498504,scientist,0.00662282246563003
research,0.00696908556983693,public,0.0041763975549579,school,0.00525491666624438,center,0.00652116612373918,long,0.00481310599794721,home,0.00611145661876686,platform,0.00489123925067724,sea,0.00589686539228744,accord,0.00465971772139605,population,0.00660357566974038
north,0.00628328695048671,make,0.00411535695929935,experience,0.00518735103890598,decline,0.00619923259094119,story,0.00474192726387523,trip,0.00573786883552688,spill,0.00482560705677349,weather,0.00571823264731744,helicopter,0.00458043711363091,time,0.00616089936427833
average,0.00573464805500654,congress,0.0040543163636408,child,0.00503532837739457,endanger_specie_act,0.00615899089934144,world,0.00468498427661765,day,0.00556206281988454,leak,0.00472715876591786,foot,0.00569838456454299,shoot,0.00454079680974834,specie,0.00604541858894041
low,0.00552890846920147,percent,0.00393223517232371,a.m,0.00500154556372537,court,0.00597790328714258,place,0.00454262680847369,record,0.00536428105228691,shell's,0.00471075071744192,high,0.00526172674350521,flight,0.00452097665780706,summer,0.00575671665059559
high,0.0053094529110094,community,0.00390781893406029,meet,0.00496776275005616,hunt,0.00579681567494371,feel,0.00445721232758731,place,0.00512254778077869,include,0.00469434266896598,erosion,0.00516248632963299,police,0.00448133635392449,feed,0.00566048267114732
accord,0.00524087304907438,policy,0.00389561081492858,activity,0.00479884868171015,endanger,0.00509258607194812,late,0.00441450508714412,river,0.00488081450927047,area,0.00461230242658629,coast,0.00496400550188854,fairbanks,0.00448133635392449,spot,0.00550650830403009
glacier,0.00521344110430037,time,0.00377352962361148,st,0.00468060883386795,study,0.00507246522614825,turn,0.00441450508714412,king,0.00470500849362813,arctic_ocean,0.00459589437811035,site,0.00480522083969299,charge,0.00426331468257036,researcher,0.00535253393691285
increase,0.00492540568417328,people,0.00377352962361148,session,0.00452858617235654,petition,0.00477065253915013,bring,0.00422944037855698,ride,0.00468303274167284,lease,0.00454667023268254,year,0.0045868919291741,plane,0.00424349453062907,shore,0.00506383199856804
northern,0.00481567790507724,letter,0.00377352962361148,play,0.00449480335868733,u.s,0.00471029000175051,write,0.0041724973912994,late,0.00441932371820933,hilcorp,0.00454667023268254,damage,0.00452734768085077,fire,0.00416421392286393,bering_sea,0.00502533840678873
weather,0.00474709804314222,economic,0.00370028090882122,group,0.00442723773134893,science,0.00442859816055228,call,0.00398743268271225,lead,0.00437537221429874,cook_inlet,0.00451385413573066,crab,0.0044082591842041,air,0.00398583255539237,hunter,0.00498684481500942
satellite,0.00473338207075522,reduce,0.00370028090882122,community,0.00441034632451433,land,0.00432799393155291,eskimo,0.00391625394864027,alaska,0.00428746920647757,north_slope,0.00443181389335097,catch,0.0044082591842041,official,0.00390655194762723,large,0.0049098576314508
cold,0.00470595012598121,impact,0.0036758646705578,music,0.00435967210401053,rule,0.00430787308575303,travel,0.00388778245501148,follow,0.00419956619865641,port,0.00434977365097127,flood,0.00436856301865522,part,0.00388673179568595,report,0.00467889608077495
heat,0.00462365429165918,world,0.00366365655142609,event,0.00425832366300292,wildlife,0.00422738970255354,freeze,0.00375966073368192,make,0.00415561469474582,alaska's,0.00433336560249534,school,0.00434871493588077,search,0.00372817058015567,research,0.00454416850954738
condition,0.00451392651256314,meet,0.00360261595576754,summer,0.00417386662882991,continue,0.00420726885675366,small,0.00374542498686752,reach,0.00404573593496935,operation,0.0043169575540194,expect,0.00432886685310632,trooper,0.00370835042821438,north,0.00440944093831979
datum,0.00447277859540213,action,0.00360261595576754,class,0.00415697522199531,lawsuit,0.00420726885675366,native,0.00354612453146598,travel,0.00404573593496935,large,0.00405442877840438,winter,0.00430901877033188,make,0.00366871012433181,long,0.00435170055065083
permafrost,0.00422589109243605,oil,0.00360261595576754,offer,0.0039880611536493,threat,0.00416702716515391,return,0.0034891815442084,sled,0.00404573593496935,route,0.00398879658450063,south,0.00418993027368521,friday,0.00364888997239053,beach,0.00425546657120256
early,0.00419845914766204,industry,0.00360261595576754,high_school,0.0038529298989725,climate_change,0.00416702716515391,caribou,0.003474945797394,ski,0.00393585717519289,chukchi_sea,0.00395598048754875,fall,0.00418993027368521,big,0.00364888997239053,early,0.00421697297942325
decade,0.00414359525811403,country,0.00356599159837241,club,0.00381914708530329,cub,0.00414690631935404,bear,0.00344647430376521,big,0.0039138814232376,oil_spill,0.00395598048754875,road,0.00418993027368521,office,0.00358942951656667,noaa,0.00415923259175429
science,0.00412987928572702,include,0.00348053476445044,family,0.00375158145796489,effect,0.00406642293615455,crew,0.00338953131650763,long,0.00378202691150585,u.s,0.00390675634212094,home,0.00417008219091077,daily,0.0035497892126841,count,0.00406299861230602
alaska_fairbanks,0.00410244734095301,climate,0.00344391040705532,ave,0.00371779864429569,biological_diversity,0.00404630209035467,white,0.00336105982287884,pass,0.00373807540759526,project,0.00366063561498186,tanker,0.00409068985981299,job,0.0035497892126841,swim,0.00404375181641636
