terms_1,prob_1,terms_2,prob_2,terms_3,prob_3,terms_4,prob_4,terms_5,prob_5,terms_6,prob_6,terms_7,prob_7,terms_8,prob_8
anchorage,0.0226788995468015,camp,0.0198639481518087,year,0.0128451884185142,village,0.0179859776617304,state,0.0169227193643609,polar_bear,0.0532306089606543,arctic,0.0367530955805554,ice,0.0305089238156161
alaska,0.0214454912601954,alaska,0.0162935920383423,dog,0.0113720429005595,ice,0.0169680780513083,alaska,0.0166620690853564,list,0.0219520222241226,drill,0.0219477628474066,warm,0.0203656177604702
film,0.014108293247564,june,0.0140000520184334,iditarod,0.0106995199467106,whale,0.0149631242732043,support,0.00801716816504376,bear,0.0205267345103618,oil,0.0212795886860531,scientist,0.0170524775917039
people,0.00990205473170208,age,0.0140000520184334,race,0.0103152211159398,island,0.0136059247926415,good,0.00793028473870896,sea_ice,0.0158621565380539,shell,0.0206465815858235,arctic,0.0168485920428567
work,0.00983880302469663,cost,0.0132670650017615,time,0.0101230717005544,mile,0.013359161250721,global_warm,0.00667047505685435,walrus,0.0143850401801564,plan,0.0154418565394908,year,0.0139432229717848
director,0.00914303424763676,learn,0.0110444592092725,good,0.00941852384414121,storm,0.00959601723643341,alaskan,0.00664875420027064,threaten,0.0128042665339853,ship,0.0115734798158653,change,0.0136119089549082
man,0.00771987084001429,free,0.0108789460119595,home,0.00916232462362733,fuel,0.00894826293889209,alaska's,0.00645326649101734,seal,0.010238748649216,alaska,0.0111866421435027,alaska,0.0132551092444256
movie,0.00746686401199253,july,0.0100513800253945,back,0.00864992618259959,boat,0.00839304496957097,public,0.00640982477784994,animal,0.00974637652991679,vessel,0.00858427962033641,sea_ice,0.0107829969646539
find,0.00680272108843538,anchorage,0.00934203775119583,trail,0.00836170205952148,move,0.00774529067202966,government,0.00571475736717153,habitat,0.0088134609354552,u.s,0.00788093839785903,water,0.0102477973989301
call,0.00613857816487823,day,0.00872727444689036,start,0.00788132852105797,water,0.0077144452292896,issue,0.00556271137108563,population,0.00878754661338683,water,0.00763476896999194,summer,0.00994196907565938
shoot,0.00604370060437006,center,0.00780512949043216,run,0.00788132852105797,barrow,0.00765275434380948,u.s,0.00556271137108563,decision,0.00865797500304493,permit,0.00752926778662034,temperature,0.00943225520354149
year,0.00585394548335373,include,0.00756868206569928,team,0.00711273085951636,nome,0.0072209181454486,fund,0.00556271137108563,specie,0.00829517449408765,offshore,0.00682592656414296,report,0.00904996979945308
barrow,0.00563256450883468,contact,0.00719036618612669,leave,0.00682450673643825,people,0.00709753637448835,million,0.00530206109208123,alaska,0.00811377423960901,environmental,0.00682592656414296,climate,0.00856574162094109
minute,0.00547443524132107,park,0.00709578721623354,day,0.00666438222361708,wind,0.00681992738982779,increase,0.00517173595257903,hunt,0.00782871669685685,company,0.00661492419739975,study,0.00856574162094109
big,0.00534793182731019,program,0.00669382659418765,win,0.00640818300310321,bering_sea,0.00604879132132623,climate_change,0.00508485252624423,wildlife_service,0.00718085864514742,work,0.00654459007515201,north,0.00825991329767035
set,0.00531630597380747,road,0.0064100896845082,musher,0.00628008339284628,resident,0.00595625499310604,people,0.00497624824332573,agency,0.006740315169985,gas,0.00605225121941784,research,0.00797957066800551
-the,0.00503167329228298,student,0.00638644494203492,snow,0.00599185926976817,community,0.00567864600844548,congress,0.00497624824332573,endanger_specie_act,0.00668848652584824,year,0.00573574766930303,university,0.00790311358718783
native,0.00487354402476937,week,0.0060317738049356,finish,0.005831734756947,crew,0.00564780056570542,energy,0.00486764396040722,global_warm,0.00661074355964311,smith,0.00538407705806434,ocean,0.00736791402146405
story,0.00430427866172038,game,0.00586626060762259,mile,0.00519123670566232,coast,0.00549357335200511,make,0.00484592310382352,fish,0.00655891491550636,exploration,0.00534890999694047,northern,0.0071640284726169
time,0.0041777752477095,a.m,0.00567710266783629,detail,0.00487098768001998,foot,0.00530850069556473,federal,0.00478076053407242,federal,0.00622202872861744,area,0.00513790763019725,climate_change,0.00708757139179921
small,0.0041777752477095,session,0.00553523421299657,make,0.00458276355694188,area,0.00518511892460449,work,0.00467215625115392,decline,0.00609245711827556,shell's,0.00510274056907338,melt,0.00617008642198702
place,0.00401964598019589,music,0.00534607627321027,winter,0.00455073865437764,expect,0.0050925825963843,cost,0.00452011025506802,center,0.00604062847413881,chukchi_sea,0.00499723938570178,find,0.00591522948592807
north,0.00398802012669317,art,0.00522785256084384,river,0.00451871375181341,sea,0.00481497361172374,project,0.00441150597214952,group,0.0058073995755234,coast_guard,0.00499723938570178,show,0.00560940116265734
late,0.00395639427319045,activity,0.0051096288484774,made,0.00451871375181341,begin,0.00478412816898368,oil,0.00436806425898212,protection,0.00518545584588235,spill,0.00496207232457791,winter,0.00532905853299251
dec,0.00395639427319045,experience,0.00506233936353082,long,0.00435858923899224,weather,0.00462990095528336,money,0.00434634340239842,u.s,0.00505588423554046,lease,0.00489173820233017,arctic_ocean,0.00494677312890409
make,0.00392476841968773,summer,0.00494411565116439,king,0.00435858923899224,tanker,0.00429060108514268,reduce,0.00430290168923102,wildlife,0.0050040555914037,chukchi,0.00475106995783469,researcher,0.00487031604808641
police,0.00392476841968773,child,0.0049204709086911,follow,0.00426251453129954,late,0.00425975564240261,concern,0.00397708884047551,endanger,0.00495222694726695,federal,0.00464556877446309,world,0.00466643049923925
part,0.00382989085917956,meet,0.00475495771137809,march,0.00426251453129954,city,0.00401299210048211,time,0.00393364712730811,number,0.00492631262519857,include,0.00457523465221535,sea,0.00461545911202746
car,0.0037350132986714,group,0.00470766822643151,hour,0.0041344149210426,call,0.00392045577226193,policy,0.00393364712730811,petition,0.00492631262519857,beaufort_sea,0.00436423228547213,glacier,0.00453900203120978
family,0.0037350132986714,club,0.00440028657427878,place,0.00410239001847837,fall,0.00392045577226193,community,0.00393364712730811,protect,0.00484856965899344,air,0.00432906522434827,record,0.00448803064399799
open,0.00367176159166595,dance,0.00440028657427878,lead,0.00410239001847837,build,0.00392045577226193,letter,0.00389020541414071,loss,0.00469308372658317,test,0.00425873110210053,percent,0.00441157356318031
week,0.00364013573816323,community,0.00423477337696576,trip,0.0040383402133499,time,0.00388961032952186,program,0.00384676370097331,u.s_fish,0.00458942643830966,system,0.00401256167423345,alaska_fairbanks,0.00441157356318031
charge,0.00364013573816323,st,0.00404561543717947,cold,0.00397429040822143,ground,0.0038587648867818,provide,0.00382504284438961,study,0.00427845457348913,issue,0.00394222755198571,permafrost,0.00430963078875673
department,0.00348200647064963,ave,0.00390374698233974,nome,0.0039422655056572,high,0.00379707400130168,price,0.00380332198780591,biological_diversity,0.004200711607284,region,0.00394222755198571,reach,0.00428414509515084
show,0.00348200647064963,sponsor,0.00388010223986646,become,0.00391024060309296,hunt,0.00373538311582155,vote,0.00378160113122221,lawsuit,0.00404522567487373,sea_ice,0.00390706049086184,increase,0.00425865940154494
day,0.00348200647064963,play,0.00378552326997331,alaska,0.00378214099283603,south,0.00370453767308149,industry,0.00367299684830371,ice,0.00394156838660022,oil_spill,0.00390706049086184,area,0.00420768801433315
home,0.00341875476364418,class,0.00376187852750002,ski,0.00371809118770756,land,0.00367369223034143,economic,0.00365127599172001,threat,0.00383791109832671,condition,0.0038367263686141,bird,0.00418220232072726
hope,0.00335550305663874,wednesday,0.00373823378502673,reach,0.00365404138257909,million,0.00358115590212124,problem,0.00362955513513631,state,0.00376016813212158,season,0.00380155930749023,satellite,0.004003802465486
fire,0.00332387720313602,fun,0.00364365481513358,late,0.00362201648001486,ship,0.00351946501664112,interest,0.00356439256538521,marine_mammal,0.00370833948798482,sea,0.00359055694074702,effect,0.00385088830385063
short,0.0032922513496333,skill,0.00364365481513358,head,0.00355796667488639,day,0.00348861957390106,percent,0.00356439256538521,biologist,0.00363059652177969,activity,0.00359055694074702,time,0.00382540261024474
